,detected,gfsk_gain_mu,gfsk_omega_limit,processed,sensivity'
0,334,0.8,0.105,83,1.0
1,265,0.3,0.025,70,0.8
2,348,0.8,0.025,93,0.9
3,262,0.3,0.055,63,0.9
4,283,0.5,0.095,84,0.9
5,425,0.7,0.045,117,0.9
6,353,0.2,0.095,99,0.7
