,Unnamed: 0,detected,gfsk_gain_mu,gfsk_omega_limit,processed,rf_gain,sensivity',sqlch_thrsh
91,91,155,0.7,0.045000000000000005,36,30,0.8999999999999999,-130
92,92,228,0.6,0.055000000000000014,59,30,1.1,-70
93,93,262,0.5,0.10499999999999997,74,70,1.1,-70
94,94,269,0.2,0.035,71,50,0.7999999999999999,-50
95,95,272,0.2,0.095,58,50,1.0,-110
96,96,251,0.2,0.08499999999999999,65,30,0.8999999999999999,-110
97,97,435,0.5,0.055000000000000014,94,60,0.7999999999999999,-30
98,98,303,0.7,0.11499999999999998,83,70,0.7999999999999999,-90
99,99,268,0.2,0.10499999999999997,58,70,0.7,-110
100,100,196,0.7,0.08499999999999999,47,50,1.1,-50
101,101,234,0.2,0.035,67,70,0.7999999999999999,-70
102,102,174,0.7,0.025,37,30,1.0,-130
103,103,204,0.7,0.075,47,30,0.8999999999999999,-90
104,104,66,0.5,0.10499999999999997,15,40,1.1,-30
105,105,250,0.30000000000000004,0.11499999999999998,49,70,0.8999999999999999,-30
106,106,360,0.8999999999999999,0.055000000000000014,73,40,1.0,-130
107,107,285,0.7999999999999999,0.08499999999999999,63,40,0.7999999999999999,-90
108,108,258,0.4,0.015,65,60,1.1,-90
109,109,441,0.6,0.025,112,70,0.7999999999999999,-130
110,110,272,0.5,0.08499999999999999,65,40,0.7999999999999999,-150
111,111,302,0.7999999999999999,0.045000000000000005,70,70,0.7999999999999999,-70
112,112,314,0.4,0.10499999999999997,64,70,1.1,-70
113,113,402,0.7,0.08499999999999999,115,40,1.0,-50
114,114,419,0.1,0.11499999999999998,92,40,0.7999999999999999,-50
115,115,260,0.30000000000000004,0.095,55,70,1.0,-50
116,116,65,0.2,0.015,20,60,0.8999999999999999,-70
117,117,195,0.8999999999999999,0.10499999999999997,44,30,0.8999999999999999,-130
118,118,87,0.7999999999999999,0.075,23,40,0.7,-30
119,119,187,0.8999999999999999,0.08499999999999999,41,40,1.0,-150
120,120,22,0.30000000000000004,0.015,9,40,0.8999999999999999,-30
121,121,203,0.5,0.11499999999999998,42,40,1.1,-90
122,122,347,0.8999999999999999,0.08499999999999999,92,60,0.7,-30
123,123,217,0.8999999999999999,0.08499999999999999,53,60,0.8999999999999999,-50
124,124,234,0.8999999999999999,0.075,43,40,0.8999999999999999,-130
125,125,405,0.5,0.10499999999999997,101,40,0.7,-50
126,126,1,0.7999999999999999,0.015,1,40,1.0,-30
127,127,232,0.2,0.065,61,40,1.0,-150
128,128,292,0.7,0.015,60,50,1.1,-130
129,129,186,0.2,0.055000000000000014,37,30,1.0,-70
130,130,0,0.8999999999999999,0.025,0,30,0.7999999999999999,-30
