,detected,gfsk_gain_mu,gfsk_omega_limit,processed,sensivity'
0,518,0.8,0.105,146,1.0
1,582,0.6,0.085,156,0.8
2,486,0.2,0.025,118,0.7
3,613,0.2,0.075,148,1.0
4,615,0.3,0.035,188,1.0
5,738,0.5,0.045,221,0.8
6,714,0.8,0.035,176,1.0
7,609,0.3,0.045,150,0.8
8,735,0.3,0.065,237,0.9
9,699,0.4,0.025,178,1.0
10,662,0.6,0.065,195,0.8
11,640,0.6,0.035,172,1.0
12,681,0.2,0.035,189,0.7
13,657,0.8,0.035,175,0.8
14,671,0.3,0.075,175,0.8
15,590,0.4,0.055,174,0.7
16,641,0.8,0.025,193,0.7
17,551,0.4,0.045,150,0.7
18,669,0.3,0.025,191,0.8
19,688,0.2,0.025,175,0.9
20,807,0.1,0.045,210,0.8
21,786,0.8,0.085,272,0.7
22,843,0.4,0.065,260,0.7
23,827,0.7,0.015,240,1.0
24,767,0.4,0.025,258,0.7
25,629,0.1,0.075,213,0.7
26,572,0.3,0.045,168,0.9
27,617,0.8,0.065,182,0.8
28,678,0.5,0.095,203,0.8
29,558,0.4,0.095,151,0.9
30,613,0.7,0.025,169,0.7
31,531,0.1,0.095,148,0.9
32,721,0.1,0.075,224,0.8
33,51,0.5,0.095,12,0.9
34,389,0.1,0.105,100,1.0
35,322,0.8,0.045,95,0.8
36,370,0.2,0.045,93,0.8
37,401,0.6,0.025,93,1.0
38,460,0.7,0.015,143,0.9
39,406,0.5,0.085,111,0.7
40,398,0.8,0.105,106,0.7
41,373,0.1,0.085,115,1.0
42,481,0.8,0.075,95,0.9
43,446,0.8,0.075,145,0.8
44,417,0.1,0.065,121,0.9
45,320,0.4,0.075,88,1.0
46,371,0.7,0.105,117,0.8
