,detected,gfsk_gain_mu,gfsk_omega_limit,processed,sensivity'
0,277,0.8,0.105,68,1.0
1,361,0.5,0.105,95,0.7
2,228,0.4,0.065,60,0.7
3,281,0.7,0.075,79,0.8
4,290,0.3,0.075,64,1.0
5,266,0.4,0.045,55,0.7
6,289,0.8,0.045,63,0.9
7,254,0.3,0.065,63,1.0
8,300,0.1,0.035,44,0.8
9,305,0.3,0.025,73,0.7
10,357,0.7,0.015,85,0.9
11,275,0.2,0.045,41,1.0
12,355,0.1,0.045,80,0.9
