,detected,gfsk_gain_mu,gfsk_omega_limit,processed,rf_gain,sensivity',sqlch_thrsh
0,348,0.8,0.105,80,70.0,1.0,-30.0
1,358,0.7,0.095,68,50.0,0.9,-90.0
